VISIBILITY,PRAGMAS_VERSION,UPGRADE_TO_050,CALL_WITHOUT_DATA,REVERT_REQUIRE,DEPRECATED_CONSTRUCTIONS,UNCHECKED_CALL,PRIVATE_MODIFIER_DONT_HIDE_DATA,TX_ORIGIN,OVERPOWERED_ROLE,EXTRA_GAS_IN_LOOPS,GAS_LIMIT_IN_LOOPS,ADDRESS_HARDCODED,ERC20_APPROVE,SHOULD_NOT_BE_PURE,USING_INLINE_ASSEMBLY,ARRAY_LENGTH_MANIPULATION,FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,DIV_MUL,LOCKED_MONEY,TARGET
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1,1,0,2,21,0,0,0,0,4,5,2,0,0,2,1,1,0,1,1
15,1,1,0,3,18,0,0,0,0,4,5,1,0,0,0,1,1,0,0,1
2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,5,13,4,7,0,0,1,1,0,0,0,0,0,0,1,0,1
0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,1,0,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,4,0,26,37,1,0,0,1,0,0,5,2,0,0,0,0,0,0,0
0,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0
0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
