VISIBILITY,PRAGMAS_VERSION,UPGRADE_TO_050,CALL_WITHOUT_DATA,REVERT_REQUIRE,DEPRECATED_CONSTRUCTIONS,UNCHECKED_CALL,PRIVATE_MODIFIER_DONT_HIDE_DATA,TX_ORIGIN,OVERPOWERED_ROLE,EXTRA_GAS_IN_LOOPS,GAS_LIMIT_IN_LOOPS,ADDRESS_HARDCODED,ERC20_APPROVE,SHOULD_NOT_BE_PURE,USING_INLINE_ASSEMBLY,ARRAY_LENGTH_MANIPULATION,FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,DIV_MUL,LOCKED_MONEY,TARGET
7,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1,4,0,26,37,1,0,0,1,0,0,5,2,0,0,0,0,0,0,1
0,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1,3,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1,5,0,0,3,1,0,0,0,0,0,3,0,0,3,0,1,0,3,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
7,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,7,5,6,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,1,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
5,1,1,0,1,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1
0,1,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1,7,5,0,1,4,3,0,0,0,0,2,0,0,0,0,0,0,0,1
1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,3,0,3,3,0,0,1,0,0,3,0,0,0,1,0,0,0,1
0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
10,1,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
11,1,0,0,3,7,1,0,0,0,2,2,0,0,0,1,1,1,0,0,1
2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
15,1,0,0,0,12,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1,0,2,21,0,0,0,0,4,5,2,0,0,2,1,1,0,1,0
15,1,1,0,3,18,0,0,0,0,4,5,1,0,0,0,1,1,0,0,0
2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,5,13,4,7,0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,22,0,1,4,0,0,0,0,1,1,4,1,3,3,0,0,0,0,0
3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
